,user_rating,review_text,sentiment,review_text_cleaned,tokens,freqdist
4,5,The best place in Athens!,positive,best place,"['best', 'place']",<FreqDist with 2 samples and 2 outcomes>
6,1,"Total lack of hospitality and respect for a bicycle camper.
The campsite was almost completely empty. And yet I should have made a reservation. I'd never heard that before.  There was only one night available on this empty campsite!
There is always a place for bicycle campers It is an unwritten rule.
I was assigned a spot of 2 square meters. Because it was not level, I moved a small meter. Then a  witch from One Flew over the Cuckoos Nest came and told me to just follow the instructions. I packed my things and left.",negative,total lack hospitality respect bicycle camper almost completely empty yet made reservation never one night available empty always place bicycle unwritten rule assigned spot square not level small meter witch one flew nest came told follow left,"['total', 'lack', 'hospitality', 'respect', 'bicycle', 'camper', 'almost', 'completely', 'empty', 'yet', 'made', 'reservation', 'never', 'one', 'night', 'available', 'empty', 'always', 'place', 'bicycle', 'unwritten', 'rule', 'assigned', 'spot', 'square', 'not', 'level', 'small', 'meter', 'witch', 'one', 'flew', 'nest', 'came', 'told', 'follow', 'left']",<FreqDist with 34 samples and 37 outcomes>
8,1,"The camping looks good, but no WiFi available.  We left the camping because of the attitude of the lady that ran the place. Not helpful at all. We were basically told to shut up while she was talking, and if we did not like, we could go elsewhere.  Which we did.",negative,good available left attitude lady ran place not helpful basically told shut talking not like could go elsewhere,"['good', 'available', 'left', 'attitude', 'lady', 'ran', 'place', 'not', 'helpful', 'basically', 'told', 'shut', 'talking', 'not', 'like', 'could', 'go', 'elsewhere']",<FreqDist with 17 samples and 18 outcomes>
9,1,"Our experience when we left the campsite after 1 night in Athens and 11 days of other places in Greece was : either the owner is not Greek or something else is not ok with owners of this campsite… Strict, rude, really not polite… Simply not Greek… Campsite clean, facilities ok. But as already written… The owners of the campsite should think, how to work in tourism… 90% empty and we weren’t able to prolonge a space for 2-3 hours on a different parking space… We simply had to see more of Athens and we didn’t know if we will be back in campsite till strict official check out… We would like to pay also for a parking place / no go…",negative,experience left night day either owner not something else not strict rude really not simply not clean already think work empty able prolonge space different parking simply see know back till strict official check would like pay also parking place,"['experience', 'left', 'night', 'day', 'either', 'owner', 'not', 'something', 'else', 'not', 'strict', 'rude', 'really', 'not', 'simply', 'not', 'clean', 'already', 'think', 'work', 'empty', 'able', 'prolonge', 'space', 'different', 'parking', 'simply', 'see', 'know', 'back', 'till', 'strict', 'official', 'check', 'would', 'like', 'pay', 'also', 'parking', 'place']",<FreqDist with 34 samples and 40 outcomes>
12,5,Great hospitality along with clean and tidy apartments.,positive,great hospitality along clean tidy,"['great', 'hospitality', 'along', 'clean', 'tidy']",<FreqDist with 5 samples and 5 outcomes>
20,1,"We visited this property twice.
On the 3rd floor it was fine...that's why we went back only to stay on the 1st floor...there was a broken sofa with springs outside.. .dirty kitchen and utensils..clogged drain in the bathroom and in the bedroom there was no TV.. .due to the fact that anything can happen in human contexts we did not mention in the comments neither siphons nor the issue of cleanliness but only the broken sofa which was so damaged to the point that we had a nervous laugh.. despite this in the next reservation we made because the location is convenient for us, we asked to stay on the 3rd floor but it wasn't possible and they told us that they don't know which room we will get into until the last moment... and we accepted it. However, because we made these comments for the better service of all of us and no because we had some reason to blame the accommodation, a gentleman called us and aggressively and in a bad tone demanded that we cancel the reservation. when we asked him why he has this unprofessional behavior, he answered because our comments are not valid. so we asked him if he really has saw the sofa and admitted that it was indeed broken and changed. Well, our comment, which I emphasize, was negative, but not unreasonable and in no case aggressive, as other visitors mentioned, and you were the reason why the person in charge took the unprofessional initiative to call us by phone to tell us to cancel the reservation. .",negative,property twice floor fine went back stay floor broken sofa outside kitchen drain bathroom bedroom fact anything happen human not mention neither issue cleanliness broken sofa point nervous laugh despite next reservation made location convenient u stay floor possible told u know room get last moment accepted however made better service u reason blame accommodation gentleman u aggressively bad tone cancel reservation unprofessional behavior not valid really saw sofa admitted indeed broken well comment emphasize negative not unreasonable case aggressive reason person charge took unprofessional initiative call u phone tell u cancel reservation,"['property', 'twice', 'floor', 'fine', 'went', 'back', 'stay', 'floor', 'broken', 'sofa', 'outside', 'kitchen', 'drain', 'bathroom', 'bedroom', 'fact', 'anything', 'happen', 'human', 'not', 'mention', 'neither', 'issue', 'cleanliness', 'broken', 'sofa', 'point', 'nervous', 'laugh', 'despite', 'next', 'reservation', 'made', 'location', 'convenient', 'u', 'stay', 'floor', 'possible', 'told', 'u', 'know', 'room', 'get', 'last', 'moment', 'accepted', 'however', 'made', 'better', 'service', 'u', 'reason', 'blame', 'accommodation', 'gentleman', 'u', 'aggressively', 'bad', 'tone', 'cancel', 'reservation', 'unprofessional', 'behavior', 'not', 'valid', 'really', 'saw', 'sofa', 'admitted', 'indeed', 'broken', 'well', 'comment', 'emphasize', 'negative', 'not', 'unreasonable', 'case', 'aggressive', 'reason', 'person', 'charge', 'took', 'unprofessional', 'initiative', 'call', 'u', 'phone', 'tell', 'u', 'cancel', 'reservation']",<FreqDist with 73 samples and 93 outcomes>
21,5,"Cozy, clean, and close to everything! very kind owner!! Beautiful balcony you are happy to sit outside even though the street below is very central! we will definitely prefer it again!",positive,cozy clean close everything kind owner beautiful balcony happy sit outside even though street central definitely prefer,"['cozy', 'clean', 'close', 'everything', 'kind', 'owner', 'beautiful', 'balcony', 'happy', 'sit', 'outside', 'even', 'though', 'street', 'central', 'definitely', 'prefer']",<FreqDist with 17 samples and 17 outcomes>
37,1,"Zero cleanliness. The towels had hair from others, the comforter had a weird smell and the room smelled musty. For €37 it wasn't even worth €15. I booked the room for 4 days and left at 3, I couldn't take it anymore, I couldn't sleep. The only good thing was the scout was very helpful.",negative,zero cleanliness hair comforter weird smell room smelled musty even worth booked room day left could take could sleep good thing scout helpful,"['zero', 'cleanliness', 'hair', 'comforter', 'weird', 'smell', 'room', 'smelled', 'musty', 'even', 'worth', 'booked', 'room', 'day', 'left', 'could', 'take', 'could', 'sleep', 'good', 'thing', 'scout', 'helpful']",<FreqDist with 21 samples and 23 outcomes>
43,5,one of the ....best family hotels in athens,positive,one best family,"['one', 'best', 'family']",<FreqDist with 3 samples and 3 outcomes>
59,5,"Simply the best! They do what they love with a smile and passion. Careful in every detail and with the most positive vibe! They make the best memories!
We look forward to the next outing!",positive,simply best love smile passion careful every detail positive make best look forward next outing,"['simply', 'best', 'love', 'smile', 'passion', 'careful', 'every', 'detail', 'positive', 'make', 'best', 'look', 'forward', 'next', 'outing']",<FreqDist with 14 samples and 15 outcomes>
