place_id,name,rating,address
ChIJYbMf-s-joRQRrfrtIL4BKQo,LoftLiving,,"Agias Grigorousas 42, Chaidari"
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina"
ChIJiXeczKukoRQR5As1xN5u7Yo,NEFELI SA,,"Aidiniou 21, Chaidari"
ChIJiXeczKukoRQRP-j3EeDy8Rc,ΑΠΕΡΑΝΤΟ ΓΑΛΑΖΙΟ,5.0,"Aidiniou 21, Chaidari"
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina"
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα"
ChIJl_5Ui0ajoRQRwsQ1yZKPP4Q,Askitis Tourist & Hotel Enterprises Europe S.A.,5.0,"Π.Καββαδια 2, Αργοστόλι"
ChIJGzqysQ-joRQRAt44_70lhaA,izabela_eleni,,"Pelasgon 40-44, Peristeri"
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina"
ChIJNTH1zDqjoRQRdA0F3aYoElE,sacramento,,"Asterionos, Peristeri"
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα"
ChIJZSxUU7WjoRQR0HenO4Uaizg,My Home in Greece,5.0,"Chersonisou 28A, Athina"
ChIJr9KowIyjoRQRirnn7HXB17s,πλαταιων 41,,"Thermopilon 26, Peristeri"
ChIJvY6kWrWjoRQRu4XBSmI_d48,Urbanlux Boutique Apartments,5.0,"Akropoleos 7, Peristeri"
ChIJIXZt0_WjoRQRBX6aXXzRyL4,Beata,,"Chrisostomou Smirnis 18, Peristeri"
ChIJl_5Ui0ajoRQRwsQ1yZKPP4Q,Askitis Tourist & Hotel Enterprises Europe S.A.,5.0,"Π.Καββαδια 2, Αργοστόλι"
ChIJG9vVQLCjoRQRcrNCBzefmNU,Athens Capital Suites-MGallery Collection,,"Syntagma Square, Zalokosta 7 9, Athina"
ChIJ7dZOQd6joRQRRfxDIVuN4no,Sunny Attic,4.9,"Dimitriou Folopoulou 59, Peristeri"
ChIJ7dZOQd6joRQRRfxDIVuN4no,Sunny Attic,4.9,"Dimitriou Folopoulou 59, Peristeri"
ChIJ36uSIB6joRQRCwvYZTuxhb0,"ΤΣΟΡΜΠΑΤΖΙΔΗΣ, Χ. Δ., & ΣΙΑ Ο.Ε.",,"Vasileos Konstantinou 30, Agii Anargiri"
ChIJG9vVQLCjoRQRcrNCBzefmNU,Athens Capital Suites-MGallery Collection,,"Syntagma Square, Zalokosta 7 9, Athina"
ChIJZSxUU7WjoRQR0HenO4Uaizg,My Home in Greece,5.0,"Chersonisou 28A, Athina"
ChIJeV4xbeiioRQRxdZ40SItszE,ΞΕΝΟΦΩΝ HOTEL,3.9,"Ἀcharnon 347, Athina"
ChIJ3fSQAe-ioRQReugFQHf4Pd0,Dassis Double Standard,,"Χρ, Tsounta 19, Μυκήνες"
ChIJ95esGd6ioRQR61OUEgzhc9s,Lak Nirvanas Homes,4.6,"Anthipolochagou Stamati Regkoukou 7, Athina"
ChIJN5YZLQCjoRQRbvpcaOa2A-s,Athens Artistic Urban Habitat,,"Pretenteri 38, Athina"
ChIJ36uSIB6joRQRCwvYZTuxhb0,"ΤΣΟΡΜΠΑΤΖΙΔΗΣ, Χ. Δ., & ΣΙΑ Ο.Ε.",,"Vasileos Konstantinou 30, Agii Anargiri"
ChIJl9KynZ-joRQRhAB0XXZqJHE,UooHome9,,"Sofianopoulou 31, Athina"
ChIJa5N911KjoRQR0rQVtXI_6S8,MA MAISON PENTHOUSE N°1,5.0,"Gerasimou Livada 15, Athina"
ChIJoQnw66WjoRQRVSYpzVGv9Js,Ahamed Greek S M P Co,4.2,"Kontoglou 3, Athina"
ChIJnVAFQgCjoRQRF3HFOGK_Iws,Apartment Acropolis View,,"Dimakopoulou 37, Athina"
ChIJU_tjoyKjoRQRqrqNyc7wv-0,Ath Urban Loft,5.0,"Σήφακα 8, Athina"
ChIJEfbIUJajoRQReDuxOYHfzN8,All Seasons Great Apartment,4.8,"Leoforos Ionias 174, Athina"
ChIJLTkMbs2joRQRpEeNDjTFU7U,Athenian Stylish Apartment,5.0,"Georgiou Maridaki 12, Athina"
ChIJs4ku1dyioRQRt2mnoFxOwWI,LUX&EASY Athens Downtown Apartments,4.6,"Kritovoulidou 11, Athina"
ChIJx8LAtAajoRQRjfKTng9QBL4,Unique cozy 1bedroom apartment-Athenian modernism,,"Leoforos Ionias 169, Athina"
ChIJzaI3tcKjoRQRJw5icPOlrUk,The bright house of Athens,5.0,"Kokkinaki, Athina"
ChIJC7rAVOujoRQRJWbh8WnTTnQ,Homey328,,"Ἀcharnon 328, Athina"
ChIJeV4xbeiioRQRxdZ40SItszE,ΞΕΝΟΦΩΝ HOTEL,3.9,"Ἀcharnon 347, Athina"
ChIJx39z3cGioRQRO2EcxllGI6M,"Modern Studio, Athens Center, near Metro station",4.5,"Patision 261, Athina"
ChIJaYMk4sGioRQR-n9-u0dqeKo,Loft in Athens with Panoramic View,4.6,"Agiou Louka 27, Athina"
ChIJpXGaAsCioRQR8DRKeaUGi5w,Dame House,,"Taigetou 55, Athina"
ChIJ3fSQAe-ioRQReugFQHf4Pd0,Dassis Double Standard,,"Χρ, Tsounta 19, Μυκήνες"
ChIJTRjNncOioRQRaBmhzgRmsyU,ArEl accommodation,4.3,"Epidamnou 10, Athina"
ChIJd22rceqioRQR-iFCPLe3Iec,Remvi Hotel,3.2,"Mistriotou 3, Athina"
ChIJx2FL4-iioRQRlRsOowPxPS0,HotelClassify,,"Kaftantzoglou, Athina"
ChIJEW8obQCjoRQRgGfNWNSJQRU,K11 ANhome,4.4,"Kaftantzoglou 11, Athina"
ChIJgTNx4F-joRQR534dCeWnEAk,MA MAISON LUXURY SUITE N°2,5.0,"Iakovidou 26, Athina"
ChIJh9J7P4yjoRQRAHg5ThQBVrQ,Nicholas Point Apartments and Rooms,4.7,"Stefanou Vizantiou 29, Athina"
ChIJFdSobSKjoRQRk9PRCYmthGw,Myrto Apartments- Athens,5.0,"Zampeliou 12, Athina"
ChIJFVOicSyjoRQRs9RJ2grUBro,Blue seaview suits,,"Tsiller 57, Athina"
ChIJLTkMbs2joRQRpEeNDjTFU7U,Athenian Stylish Apartment,5.0,"Georgiou Maridaki 12, Athina"
ChIJU_tjoyKjoRQRqrqNyc7wv-0,Ath Urban Loft,5.0,"Σήφακα 8, Athina"
ChIJx_kIhgajoRQRgi7wnx4uWS4,Feel Good Vibes - Apt Suite Athens,5.0,"Agiou Louka 54, Athina"
ChIJx0iBGAajoRQRug2LDZyR914,UooHome7,,"Kampouroglou 5, Athina"
ChIJNV_ePgCjoRQRJfkFSHcRdik,Atene,,"Kampouroglou 5, Athina"
ChIJc1BOLJujoRQRx39s2Jyiuv4,Comfy & modern apartment in Athens-Kato Patisia,,"Patmou 81, Athina"
ChIJp0a8WQKjoRQRxp1VwPwvxJs,LUX&EASY - Athens Downtown Residences,4.5,"Agias Paraskevis 86, Athina"
ChIJ2RQAUZ2joRQRUQOl5uGobPM,Agios Kosmas HQ,4.9,"Evgeniou Karavia 58, Athina"
ChIJEfbIUJajoRQReDuxOYHfzN8,All Seasons Great Apartment,4.8,"Leoforos Ionias 174, Athina"
ChIJhSDvk9SjoRQRTlwUJPaJvro,Green Suites Boutique Hotel,4.5,"Mak Milan 8, Athina"
ChIJzaI3tcKjoRQRJw5icPOlrUk,The bright house of Athens,5.0,"Kokkinaki, Athina"
ChIJnVAFQgCjoRQRF3HFOGK_Iws,Apartment Acropolis View,,"Dimakopoulou 37, Athina"
ChIJqaefF2ejoRQRSUkwgnXXn6M,Phaedra Traditional Apartment,5.0,"Neigi 24Γ, Athina"
ChIJK6SfOMKioRQRzK2p3fSPF7A,Pigs in Space,5.0,"Promitheos 35, Athina"
ChIJ8xbCxVyjoRQRER7jsXb_dHk,Eagles nest 250m walk to metro,,"Promitheos 37, Athina"
ChIJC7rAVOujoRQRJWbh8WnTTnQ,Homey328,,"Ἀcharnon 328, Athina"
ChIJa5N911KjoRQR0rQVtXI_6S8,MA MAISON PENTHOUSE N°1,5.0,"Gerasimou Livada 15, Athina"
ChIJe_d_YACjoRQRE3sHjwM6sjw,Promitheas appartment,,"Promitheos 9, Athina"
ChIJN5YZLQCjoRQRbvpcaOa2A-s,Athens Artistic Urban Habitat,,"Pretenteri 38, Athina"
ChIJsbqHTECjoRQRQQlWvdeUYTo,Aspasias Apartment,4.5,"Patision 257, Athina"
ChIJx8LAtAajoRQRjfKTng9QBL4,Unique cozy 1bedroom apartment-Athenian modernism,,"Leoforos Ionias 169, Athina"
ChIJRd1sL3yjoRQR1Q5jtamUjA8,Blue Serenity,5.0,"Sifnou 36, Athina"
ChIJl9KynZ-joRQRhAB0XXZqJHE,UooHome9,,"Sofianopoulou 31, Athina"
ChIJnao_W8CioRQRdoWq9w-ia7M,ΕΝΟΙΚΙΑΖΟΜΕΝΑ ΔΩΜΑΤΙΑ ΣΤΗΝ ΚΕΑ - “AIGAIONHOUSE'',,"Keas 30, Athina"
ChIJs4ku1dyioRQRt2mnoFxOwWI,LUX&EASY Athens Downtown Apartments,4.6,"Kritovoulidou 11, Athina"
ChIJVfWkMdKjoRQRzUXEkBJxDyM,hospitality gr Comfortable near metro,,"Serifou 48, Athina"
ChIJZ1-E892joRQR0oArMdBoAHo,"Ανεμπόδιστη θέα σε ασφαλή γειτονιά, κοντά στο μετρό",5.0,"Doxara 8, Athina"
ChIJLXaxQgCjoRQR0mbsIbbi874,Ahome4,,"Keas 25, Athina"
ChIJ99MYbtSjoRQRo9x1edRu5wQ,Ionias Cozy Studio,,"Leoforos Ionias 140, Athina"
ChIJx6cLK1CjoRQR_Br42S8HZA4,Αnna's Home!!!Holidays in beautiful Athens,,"Samis 2Α, Athina"
ChIJY42Cq1mjoRQRn2Vu3biAlgs,Αnna's Home 2 .Holidays in beautiful Athens,,"Nikopoleos 64, Athina"
ChIJV27Y8hOjoRQR60spluzqWeU,Annas home2.Holidays in beautiful Athens,,"Nikopoleos 64, Athina"
ChIJrXKQCWqjoRQRmt1tHvk-9OU,Via Domus apartment,,"Agias Zonis 124, Athina"
ChIJpXGaAsCioRQR8DRKeaUGi5w,Dame House,,"Taigetou 55, Athina"
ChIJd26gYwCjoRQRUOFU3E3JTWQ,nawrozi,,"Stefanopoulou 1, Galatsi"
ChIJq2Mhg6ejoRQRzLxXI2yk5Rw,FEELS LIKE HOME IKE,4.5,"Μαραθώνος 1, Kerkiras 24, Galatsi"
ChIJx6cLK1CjoRQR_Br42S8HZA4,Αnna's Home!!!Holidays in beautiful Athens,,"Samis 2Α, Athina"
ChIJFdSobSKjoRQRk9PRCYmthGw,Myrto Apartments- Athens,5.0,"Zampeliou 12, Athina"
ChIJ66JekDGjoRQRka0LSbRu4Fc,Γαλάτσι Όμορφο Διαμέρισμα,,"Navarinou 6, Galatsi"
ChIJd22rceqioRQR-iFCPLe3Iec,Remvi Hotel,3.2,"Mistriotou 3, Athina"
ChIJFVOicSyjoRQRs9RJ2grUBro,Blue seaview suits,,"Tsiller 57, Athina"
ChIJx_kIhgajoRQRgi7wnx4uWS4,Feel Good Vibes - Apt Suite Athens,5.0,"Agiou Louka 54, Athina"
ChIJhSDvk9SjoRQRTlwUJPaJvro,Green Suites Boutique Hotel,4.5,"Mak Milan 8, Athina"
ChIJF_ChJPWjoRQR8T8t0nC1DG4,Obad Athena,,"Eleftheriou Venizelou 6, Galatsi"
ChIJ9UX8GsijoRQR2uWHf4ziuGM,Helen's Cozy Studio 2,4.7,"Ήρας 31, Sokratous 2, &"
ChIJx0iBGAajoRQRug2LDZyR914,UooHome7,,"Kampouroglou 5, Athina"
ChIJNV_ePgCjoRQRJfkFSHcRdik,Atene,,"Kampouroglou 5, Athina"
ChIJ66JekDGjoRQRka0LSbRu4Fc,Γαλάτσι Όμορφο Διαμέρισμα,,"Navarinou 6, Galatsi"
ChIJ9UX8GsijoRQR2uWHf4ziuGM,Helen's Cozy Studio 2,4.7,"Ήρας 31, Sokratous 2, &"
