place_id,place_name,place_rating,place_address,place_types,location.lat,location.lng,place_user_ratings_total,user_name,user_rating,review_text,creation_time
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina","['lodging', 'point_of_interest', 'establishment']",38.0133074,23.6779307,55,Arthur Quing,5,"Feels like I'm home. Our family loves the swimming pool. Very nice place,  shops can reach on foot. Niki is very accommodating. Will recommend this place..",1682362247
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina","['lodging', 'point_of_interest', 'establishment']",38.0133074,23.6779307,55,M. K.,5,"This is a hidden gem in the city. Great overnight stay. The host was excellent and very friendly. The rooms very clean and modern. Swimming pool in the backyard was wow! I definitely recommend this place for a short break in Athens.

If you beleive this review has been helpful for you, please don’t forget to press the 👍 button. Thank you.",1704966677
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina","['lodging', 'point_of_interest', 'establishment']",38.0133074,23.6779307,55,Stefhanie de Kom,5,"Very nice people. I was there just to visit my sister who is renting the apartment. I am living in greece, so I have seen a lot of apartments. The owners are the most sweet people I have met. And the apartment is so clean and beautifull.",1600854102
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina","['lodging', 'point_of_interest', 'establishment']",38.0133074,23.6779307,55,yoel guenine,5,Amazing appartment full equipped.,1623825780
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina","['lodging', 'point_of_interest', 'establishment']",38.0133074,23.6779307,55,Kostas Gontikakis,5,The best place in Athens!,1607635402
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina","['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",38.0087076,23.6717129,838,Miha Lekežič,5,"A simple campsite with great cleanliness and friendly people.  toilets are cleaned every day.  workers are available all the time, and in the evening they also have a security guard.  Getting to the city center is quite simple, because there is a bus station right next to the camp and there are plenty of taxis as well.  we paid €14 for a taxi from the camp to the acropolis.   We recommend it",1723122801
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina","['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",38.0087076,23.6717129,838,Harrie Vendeloo,1,"Total lack of hospitality and respect for a bicycle camper.
The campsite was almost completely empty. And yet I should have made a reservation. I'd never heard that before.  There was only one night available on this empty campsite!
There is always a place for bicycle campers It is an unwritten rule.
I was assigned a spot of 2 square meters. Because it was not level, I moved a small meter. Then a  witch from One Flew over the Cuckoos Nest came and told me to just follow the instructions. I packed my things and left.",1728926263
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina","['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",38.0087076,23.6717129,838,Borislav Khristov,5,"The campsite is located in a remote area, but there are buses stopping in front of it that can quickly take you to the center.
The service areas are extremely clean and the staff is very kind, friendly and always ready to help with information about the tourist attractions of the city.There is a supermarket and a fruit shop very close to the campsite.
I would love to visit the campsite again.",1722184841
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina","['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",38.0087076,23.6717129,838,Onno Dries,1,"The camping looks good, but no WiFi available.  We left the camping because of the attitude of the lady that ran the place. Not helpful at all. We were basically told to shut up while she was talking, and if we did not like, we could go elsewhere.  Which we did.",1728884318
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina","['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",38.0087076,23.6717129,838,rok jelenc,1,"Our experience when we left the campsite after 1 night in Athens and 11 days of other places in Greece was : either the owner is not Greek or something else is not ok with owners of this campsite… Strict, rude, really not polite… Simply not Greek… Campsite clean, facilities ok. But as already written… The owners of the campsite should think, how to work in tourism… 90% empty and we weren’t able to prolonge a space for 2-3 hours on a different parking space… We simply had to see more of Athens and we didn’t know if we will be back in campsite till strict official check out… We would like to pay also for a parking place / no go…",1720038621
ChIJqa8w9nijoRQRCpbK1qGRcNs,Σύγχρονο διαμέρισμα στο Αιγάλεω-Χαϊδάρι,5.0,"Iktinou 15, Egaleo","['lodging', 'point_of_interest', 'establishment']",38.00687499999999,23.6692459,2,ΣΙΜΟΝΗ ΑΘΑΝΑΣΙΟΥ,5,So cute 😍 and cozy place ! I recommend it .,1729196096
ChIJl_5Ui0ajoRQRwsQ1yZKPP4Q,Askitis Tourist & Hotel Enterprises Europe S.A.,5.0,"Π.Καββαδια 2, Αργοστόλι","['lodging', 'point_of_interest', 'establishment']",38.0151817,23.6874629,1,NIKOS APOSTOLOPOULOS,5,Flawless,1564747221
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",38.0033891,23.6780007,8,ant lib,5,Great hospitality along with clean and tidy apartments.,1702419082
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",38.0033891,23.6780007,8,Smaragda Fotopoulou,5,Excellent professional. Everywhere and always service and consistency!,1726823044
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",38.0033891,23.6780007,8,George Lymperis,5,"We have stayed in 2 different Pin Homes apartments. Beautiful and functional spaces, with all the necessary equipment, comfortable furniture, quiet and pleasant environment. The service very good, and above all warm and friendly. It goes without saying that it is our first choice and we wholeheartedly recommend it!",1702057313
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",38.0033891,23.6780007,8,Alexandra Cheila,5,"After my first visit to one of the accommodations, I choose only Pin Homes for my stay now without a second thought!!! Everything is perfect! Cleanliness 💯! Service 💯! Contact 💯! Spaces💯! I recommend it 💯!!!",1704226130
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",38.0033891,23.6780007,8,Spiros Kassaratos,5,excellent professionals! we highly recommend them!,1704380660
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα","['lodging', 'point_of_interest', 'establishment']",38.0174483,23.6918195,46,Michelle De la Cruz,3,"The apartment is clean but I recommend to also get an insecticide.
The place is very well located and the neighborhood is very good - not in a tourist area so not many english speakers but it feels safe.",1630320549
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα","['lodging', 'point_of_interest', 'establishment']",38.0174483,23.6918195,46,ΚΙΚΗ ΜΙΧΑΗΛΙΔΟΥ,4,"It was clean and in a very good area ... In 2 minutes the Metro and shops around ... You could easily find parking ... The only thing that spoiled our mood was the sofa that was holey and you couldn't sit down and enjoy to watch TV ... If the sofa is changed, it will be ok!!",1729160149
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα","['lodging', 'point_of_interest', 'establishment']",38.0174483,23.6918195,46,ΜΑRΙΑ PANAG,5,"nice locations ... clean space, comfortable rooms, ideal for families, helpful owner..",1715587600
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα","['lodging', 'point_of_interest', 'establishment']",38.0174483,23.6918195,46,Marina Konstantopoulou,1,"We visited this property twice.
On the 3rd floor it was fine...that's why we went back only to stay on the 1st floor...there was a broken sofa with springs outside.. .dirty kitchen and utensils..clogged drain in the bathroom and in the bedroom there was no TV.. .due to the fact that anything can happen in human contexts we did not mention in the comments neither siphons nor the issue of cleanliness but only the broken sofa which was so damaged to the point that we had a nervous laugh.. despite this in the next reservation we made because the location is convenient for us, we asked to stay on the 3rd floor but it wasn't possible and they told us that they don't know which room we will get into until the last moment... and we accepted it. However, because we made these comments for the better service of all of us and no because we had some reason to blame the accommodation, a gentleman called us and aggressively and in a bad tone demanded that we cancel the reservation. when we asked him why he has this unprofessional behavior, he answered because our comments are not valid. so we asked him if he really has saw the sofa and admitted that it was indeed broken and changed. Well, our comment, which I emphasize, was negative, but not unreasonable and in no case aggressive, as other visitors mentioned, and you were the reason why the person in charge took the unprofessional initiative to call us by phone to tell us to cancel the reservation. .",1710782352
ChIJfSiRoECjoRQRe24-P2_Z8nk,Lak Peristeri Homes,4.6,"1st floor Apt3, Θηβών 209, Αθήνα","['lodging', 'point_of_interest', 'establishment']",38.0174483,23.6918195,46,Ειρήνη Τ.,5,"Cozy, clean, and close to everything! very kind owner!! Beautiful balcony you are happy to sit outside even though the street below is very central! we will definitely prefer it again!",1701634863
ChIJqUDX2CCloRQR64dIxkId-dM,Phoenix Garden Apartments,5.0,"Γεωργίου Παπανδρέου, 1η, Χαϊδάρι","['lodging', 'point_of_interest', 'establishment']",38.0122447,23.6532535,73,Dimitrios Mavrolias,5,"This is a hidden gem. We were greeted by the very polite and welcoming host. Showed us the premises and explained to us all the amenities. The place, a newly renovated apartment, was spotless clean. It is in an alley thus is really quiet. A wine welcome was waiting for us on the table plus a tray full of stuff for breakfast. Tea, coffee, juices and bottled water were also available as were all the house appliances, that looked in great working condition. Plenty of towels and bed covers. Good communication prior to arriving and after leaving the apartment. What more is there to ask.",1727129577
